line_id,class
PPN001,HA-Oil
PPN002,HA-Oil
PPN003,HA-NonOil
PPN004,HA-NonOil
PPN005,HA-NonOil
PPN006,HA-NonOil
PPN007,HA-Oil
PPN008,RHA-NonOil
PPN009,RHA-Oil
PPN010,RHA-Oil
PPN011,HA-NonOil
PPN012,RHA-Oil
PPN013,RHA-Oil
PPN014,RHA-Oil
PPN015,RHA-Oil
PPN016,RHA-Oil
PPN017,HA-Oil
PPN018,HA-Oil
PPN019,HA-Oil
PPN020,HA-Oil
PPN021,HA-Oil
PPN022,RHA-Oil
PPN023,RHA-Oil
PPN024,RHA-Oil
PPN025,RHA-Oil
PPN026,HA-Oil
PPN027,HA-NonOil
PPN028,HA-NonOil
PPN029,HA-NonOil
PPN030,RHA-Oil
PPN031,RHA-Oil
PPN032,RHA-Oil
PPN033,RHA-Oil
PPN034,RHA-Oil
PPN035,HA-NonOil
PPN036,HA-NonOil
PPN037,HA-NonOil
PPN038,HA-Oil
PPN039,HA-NonOil
PPN040,HA-Oil
PPN041,RHA-NonOil
PPN042,RHA-Oil
PPN043,HA-Oil
PPN044,OPV
PPN045,NonOil
PPN046,landrace
PPN047,HA-Oil
PPN048,OPV
PPN049,RHA-Oil
PPN050,HA-Oil
PPN051,OPV
PPN052,HA-NonOil
PPN053,HA-Oil
PPN054,RHA-NonOil
PPN055,RHA-NonOil
PPN056,RHA-NonOil
PPN057,RHA-Oil
PPN058,Oil
PPN059,HA-NonOil
PPN060,RHA-Oil
PPN061,RHA-Oil
PPN062,HA-Oil
PPN063,Introgressed
PPN064,Introgressed
PPN065,RHA-Oil
PPN066,Oil
PPN067,HA-Oil
PPN068,HA-NonOil
PPN069,HA-Oil
PPN070,HA-NonOil
PPN071,HA-Oil
PPN072,RHA-NonOil
PPN073,NonOil
PPN074,HA-NonOil
PPN075,Introgressed
PPN076,HA-NonOil
PPN077,HA-Oil
PPN078,HA-NonOil
PPN079,Introgressed
PPN080,HA-NonOil
PPN081,RHA-Oil
PPN082,NonOil
PPN083,landrace
PPN084,Introgressed
PPN086,Introgressed
PPN087,Introgressed
PPN088,Introgressed
PPN089,NonOil
PPN090,HA-NonOil
PPN091,NonOil
PPN092,NonOil
PPN093,OPV
PPN094,OPV
PPN095,NonOil
PPN096,RHA-Oil
PPN097,NonOil
PPN098,RHA-NonOil
PPN099,RHA-NonOil
PPN100,RHA-NonOil
PPN101,RHA-NonOil
PPN102,RHA-NonOil
PPN103,RHA-NonOil
PPN104,HA-Oil
PPN105,Oil
PPN106,RHA-Oil
PPN107,RHA-Oil
PPN108,RHA-Oil
PPN109,Oil
PPN110,HA-NonOil
PPN111,HA-NonOil
PPN112,HA-NonOil
PPN113,HA-NonOil
PPN114,RHA-NonOil
PPN115,RHA-Oil
PPN116,HA-NonOil
PPN117,RHA-NonOil
PPN118,RHA-Oil
PPN119,RHA-NonOil
PPN120,RHA-Oil
PPN121,RHA-Oil
PPN122,RHA-NonOil
PPN123,Introgressed
PPN124,Introgressed
PPN125,Introgressed
PPN126,Introgressed
PPN127,Introgressed
PPN128,Introgressed
PPN129,HA-NonOil
PPN130,HA-Oil
PPN131,HA-Oil
PPN132,HA-NonOil
PPN133,HA-Oil
PPN134,HA-NonOil
PPN135,Oil
PPN136,RHA-Oil
PPN137,RHA-Oil
PPN138,HA-Oil
PPN139,HA-Oil
PPN140,HA-Oil
PPN141,HA-Oil
PPN142,RHA-Oil
PPN143,RHA-Oil
PPN144,HA-Oil
PPN145,HA-Oil
PPN146,RHA-NonOil
PPN147,HA-NonOil
PPN148,RHA-Oil
